Data,Hora,Placa
2025-03-21,09:31:08,JBV3F41
2025-03-21,09:32:31,JBS5A84
2025-03-21,09:35:36,OXA-8554
2025-03-21,10:07:24,QUX3H58
2025-03-21,10:20:45,RTR9D14
2025-03-21,10:24:38,QUX3H58
2025-03-21,10:28:26,QUX3H58
2025-03-21,10:45:00,RVM3A31
2025-03-21,11:13:18,QJZ6F66
2025-03-21,11:30:31,JBV2E59
2025-03-21,11:30:41,JBV2E59
2025-03-21,11:38:58,RUM7H38
2025-03-21,11:40:27,JBV3G10
2025-03-21,11:40:37,JBV3G10
2025-03-21,11:48:18,JBV3G56
2025-03-21,11:48:29,JBV3G56
2025-03-21,14:57:46,I
2025-03-21,15:15:20,RUM8C96
2025-03-21,15:23:50,RIZ3C34
2025-03-21,15:27:03,RTY4F16
2025-03-21,15:27:19,QXU2J56
2025-03-21,15:27:55,0
2025-03-21,15:28:03,ETP8D12
2025-03-21,15:28:18,QXU2J56
2025-03-21,15:28:23,ETP8D12
2025-03-21,15:28:47,R
